,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YHR137W,460.6437653,1.43701526,0.437800906,10.81362153,0.00100756,0.028777968
YKL062W,80.40952326,1.470495206,0.514235151,8.303742036,0.003956348,0.076097583
YDL020C,192.0464901,1.472282533,0.376421186,15.68265564,7.49E-05,0.005029005
YBL005W,77.4785537,1.495785864,0.506923288,9.054656496,0.002620266,0.057922797
YOR220W,70.96905672,1.496031899,0.498777247,9.221443588,0.002391969,0.054198024
YNL101W,74.73986128,1.500772409,0.534328509,8.205465204,0.00417644,0.077539182
YBR214W,112.9885846,1.587853649,0.478103259,11.01393146,0.000904296,0.027782847
YHR006W,115.1023683,1.589053947,0.466063593,11.82844541,0.000583327,0.020095681
YPL175W,73.7801147,1.610486743,0.573535629,8.520735045,0.003511226,0.069658729
YLR084C,84.8243681,1.6437875,0.463551518,13.12474367,0.000291421,0.012097318
YJL141C,97.16582155,1.644182468,0.455029633,13.30455958,0.000264761,0.011248226
YKL201C,116.3578342,1.651132391,0.506216634,11.8266931,0.000583876,0.020095681
YBR165W,54.39619961,1.663167779,0.607143604,7.721222319,0.005457543,0.092814144
YPL095C,73.00082452,1.671944889,0.576643312,8.740107267,0.003112862,0.064146734
YER130C,103.7583689,1.701335192,0.459689538,13.94074166,0.000188665,0.009160338
YDR222W,56.65543849,1.7234315,0.587381658,9.055408572,0.002619189,0.057922797
YLR116W,72.0505924,1.732473067,0.583698181,9.158429527,0.002475749,0.055632751
YIL117C,119.6735052,1.735219419,0.54510544,10.36787188,0.001282273,0.034349749
YCL040W,601.6223255,1.782099192,0.505696925,12.23545241,0.0004689,0.0173461
YKL075C,50.6018396,1.78962222,0.68172513,7.638108023,0.005714783,0.095272908
YKL051W,109.5667816,1.822530282,0.41616564,19.47869507,1.02E-05,0.000921995
YPL214C,72.44755243,1.907952506,0.649554708,9.92847409,0.001627414,0.039685547
YNL159C,47.98747057,1.9808577,0.611855657,10.91450005,0.000954145,0.028509003
YNL032W,53.12645814,2.017163506,0.694634081,9.704081161,0.001838592,0.04404522
YKL161C,113.7094046,2.018894235,0.653153905,11.16014975,0.000835732,0.025969768
YCL004W,41.49482008,2.123225665,0.68585648,10.84031915,0.000993136,0.028777968
YCR037C,205.5858322,2.12797644,0.426699622,26.19629347,3.08E-07,4.93E-05
YOR162C,73.60839022,2.131270432,0.542321545,16.72976179,4.31E-05,0.003043836
YAL062W,39.90203506,2.158350512,0.750826557,9.282285772,0.002313805,0.052867531
YMR316W,102.3166552,2.218260526,0.693855117,12.33839109,0.000443737,0.016757246
YFR020W,36.54486689,2.218398189,0.863475007,8.204866146,0.004177819,0.077539182
YKL163W,44.12268654,2.26971389,0.94825066,7.704964696,0.005506915,0.093001875
YGL211W,77.21685223,2.325680579,0.668805232,14.16570076,0.000167394,0.008507385
YOL014W,43.13105715,2.36206149,0.796810299,10.79805756,0.001016067,0.028777968
YOR273C,191.0973301,2.382469014,0.400944211,35.36137492,2.74E-09,8.76E-07
YLR266C,76.17923905,2.392331773,0.657764774,14.73688524,0.000123604,0.006789498
YOR368W,38.22254206,2.466933693,0.74911152,11.50445378,0.000694296,0.022340729
YJL206C,39.03398635,2.497361507,0.826129245,10.09534678,0.001486442,0.037079224
YDR332W,40.08756052,2.503854823,0.994270485,8.136132075,0.004339175,0.078921598
YDR453C,27.34784745,2.506076122,0.993799525,8.279591577,0.004009315,0.076097583
YJR083C,40.80178684,2.510626149,0.67030822,15.14017618,9.98E-05,0.006031124
YBR203W,22.98641255,2.541419242,0.772466847,11.77317608,0.000600904,0.02029636
YNL230C,33.10321576,2.621562602,1.003157564,8.669231691,0.003236276,0.065423306
YOR208W,66.72783909,2.694153492,0.938386626,11.39826985,0.000735125,0.023377847
YER081W,377.1188853,2.886176111,0.458751662,41.55359208,1.15E-10,6.24E-08
YNR004W,24.30873079,3.158204235,1.159644707,10.9838931,0.000919072,0.028078153
YPL119C,14.35290975,3.159391949,1.076290884,10.32101462,0.00131524,0.034719772
YBR008C,75.22176783,3.18087208,0.917890291,18.69576955,1.53E-05,0.001282718
YDL197C,46.82672415,3.233763686,1.003434262,13.71805095,0.000212403,0.009848471
YML002W,77.44968238,3.26935232,1.087747841,15.91800971,6.61E-05,0.004496295
YPL088W,162.4351302,3.284056903,0.815536612,24.71259794,6.65E-07,9.05E-05
YNR060W,222.443751,3.36829216,0.890475435,25.0572853,5.57E-07,7.96E-05
YCR073C,50.51900016,3.381701098,0.729697406,27.69077369,1.42E-07,2.76E-05
YML054C,33.56420414,3.514767993,1.139981977,15.00560302,0.000107192,0.006268116
YPL052W,29.80282215,3.597073112,0.894020213,18.73251539,1.50E-05,0.001277896
YOR180C,22.5203717,3.669968129,1.181996278,14.38383236,0.000149077,0.007794996
YGR121C,34.70268714,3.936506036,1.178514196,17.06191225,3.62E-05,0.002658793
YDR444W,43.7237249,4.009985224,1.399568516,14.79849696,0.000119631,0.006706725
YML081C-A,17.3722802,4.01193556,1.578806574,7.909671709,0.004917119,0.085156988
YMR068W,27.4144566,4.072546088,1.43155156,13.48018237,0.000241096,0.010488656
YOL029C,32.82818527,4.252079883,1.525496833,10.33400734,0.001306013,0.034644396
YGR213C,110.0279095,4.3109077,1.4984798,11.63296191,0.000647933,0.0213543
YLR046C,129.5954704,4.311993747,1.356858972,22.69365885,1.90E-06,0.000229597
YOR032C,32.91999478,4.393947831,1.536432685,10.87716644,0.000973571,0.02877325
YHL043W,39.51817786,4.515628894,1.547580008,11.28282092,0.000782276,0.024589693
YPL165C,29.44299912,4.546779368,1.607778015,9.68239078,0.001860424,0.044178975
YBR083W,29.95643014,4.57461343,1.419599401,19.02287328,1.29E-05,0.001114884
YGL194C-A,5.787838322,4.681977924,1.752904207,8.129169345,0.00435587,0.078921598
YLR411W,85.16180845,4.797465963,1.512307156,14.73777793,0.000123546,0.006789498
YBR018C,10.61298983,4.950098036,1.702382735,9.845638279,0.001702349,0.041143887
YKL187C,24.29229835,4.952891465,1.444376741,20.95827315,4.69E-06,0.00049088
YJL108C,28.94478703,5.016365893,1.533111633,15.41642933,8.62E-05,0.005517029
YDL231C,134.5988145,5.367620098,1.363664107,40.3329453,2.14E-10,1.06E-07
YOR178C,26.9285361,7.616239232,1.572384178,39.6243221,3.08E-10,1.39E-07
YJL213W,114.662787,7.799659234,1.481126643,76.90283964,1.80E-18,4.88E-15
YKR105C,7.298352203,9.25899429,2.597822217,11.38624041,0.000739901,0.023392926
YNL303W,7.168175398,9.717637316,2.634246776,8.610781393,0.003341789,0.067306107
YCR024C-B,17.71676587,10.58664554,2.562058877,10.27770513,0.001346473,0.035207834
YGL088W,1083.79589,10.69598035,1.435557498,160.585823,8.43E-37,4.58E-33
YNL143C,210.9552968,11.65713733,2.315432096,11.921711,0.000554835,0.019465759
